objectid,identifier,filename,compound,title,creator,description,date-actual,date,location,latitude,longitude,Type,subject,format,language,rights,rightsstatement,,image_small,image_thumb,source,display_template
histhea0015,histhea0015,histhea0015.jpg,,"El Teatro Desengaño / The Enlightenment Theatre presents 3 Women: Worker, Consumer, Senior Citizen / 3 Mujeres: Trabajadora, Consumidora, Persona de tercer edad",El Teatro Desengaño del Pueblo,"Black and yellow poster announcing a production by El Teatro Desengaño / The Enlightenment Theatre presentation of ""3 Women / Mujer: Worker, Consumer, Senior Citizen."" The Enlightenment Theatre was Nicolás Kanellos' theater group in Gary, Indiana. Date, time, admission and location are blank. The image includes theater masks at the top. <br><br> Póster en negro y amarillo anunciando la producción del Teatro Desengaño/The Enlightenment Theater de ""3 Women: Worker, Consumer, Senior Citizen / 3 Mujeres: Trabajadora, Consumidora, Persona de tercer edad"". El Teatro Desengaño era el grupo de teatro de Nicolás Kanellos en Gary, Indiana. La fecha, la hora, el precio de admisión y el lugar están en blanco. La imagen muestra máscaras de teatro en la parte superior. ",[Unknown],[Unknown],"Gary, Indiana",41.5969438,-87.3366878,Text; Stillimage,Hispanic American theater; Posters; Teatro Desengaño/The Enlightenment Theatre (organization); Women; Latina; Worker; Consumer; Senior citizen; Teatro hispanoamericano; Pósters; Teatro Desengaño/The Enlightenment Theatre (organización); Mujeres; Latina; Trabajadora; Consumidora; Persona de tercer edad,images/jpg,Eng; Span,Arte Público Press,https://artepublicopress.com/permissions/,,,,,
histhea0016,histhea0016,histhea0016.jpg,,"Teatro Castillo Álvarez, Centro Cultural R. Cintrón Ortiz",Teatro Castillo Álvarez,"Black and orange poster with sketches of faces, announcing Teatro Castillo Álvarez at Centro Cultural R. Cintrón Ortiz, University of Illinois, Chicago, Circle Campus. <br><br> Póster en negro y naranjo con bosquejos de rostros anunciando el Teatro Castillo Álvarez en el Centro Cultural R. Cintrón Ortiz, Universidad de Illinois, Chicago, Circle Campus.",29-Apr,29-Apr,"Chicago, Illinois",41.8721437,-87.65111,Stillimage; Text,"Hispanic American theater; Posters; Teatro Castillo Álvarez (organization); Centro Cultural R. Cintrón Ortiz; Circle Campus, Chicago; Teatro hispanoamericano; Pósters; Teatro Castillo Álvarez (organización); Centro Cultural R. Cintrón Ortiz; Circle Campus, Chicago",images/jpg,Eng;Span,Arte Público Press,https://artepublicopress.com/permissions/,,,,,
histhea0018,histhea0018,histhea0018.jpg,,"Two Centuries of Hispanic Theatre poster for the national tour of the Hispanic Theatre Exhibition<br><br>Póster para la gira nacional de la exibición de teatro hispanoamericano, Two Centuries of Hispanic Theatre",University of Houston,"Black, white and red poster announcing ""Two Centuries of Hispanic Theatre,"" a national touring multimedia exhibit on the history of Hispanic Theatre in the United States, presented by the University of Houston at various locations around the country, funded by The National Endowment for the Humanities. <br><br> Póster negro, blanco y rojo anunciando ""Two Centuries of Hispanic Theatre"",  la gira nacional de una exibición multimedia sobre el tearto hispano de los Estados Unidos presentado por la Universidad de Houston en varios lugares del país. Esta gira fue patrocinada por The National Endowment for the Humanities.",1985-06-01,1985-06-01,"Houston, Texas",29.7188527,-95.3410222,Stillimage; Text,Hispanic American theater; Poster; Multimedia (Art)--Exhibitions; University of Houston; Nicolás Kanellos (curator); Teatro hispanoamericano; Pósters; Multimedia (Arte)--Exibiciones; Universidad de Houston; Nicolás Kanellos (curador),images/jpg,Eng,Arte Público Press,https://artepublicopress.com/permissions/,,,,,
histhea0019,histhea0019,histhea0019.jpg,,Teatro DUO Theatre presents Fight!<br><br>Teatro DUO Theatre presenta Fight!,Rafael Llerena; Arcadio Ruiz Castellano,"Black and white poster announcing Teatro DUO Theatre's production of ""Fight!"", a work-in-progress of a play with music. Director, Manuel Martín, Jr., wrote the book and lyrics. Félix Méndez composed the music. The image is of archangel Michael flying over a boxer. <br><br> Póster en blanco y negro anunciando la producción, ""Fight!"" una obra musical en progreso en el Teatro DUO. Director, Manuel Martín, Jr. escribió el libro y la letra del musical. Félix Méndez compuso la música. La imagen muestra al arcángel Miguel volando sober un boxeador.  ",1986-05-09,1986-05-09,"Nueva York, Nueva York",40.7264515,-73.9907391,Stillimage; Text,"Hispanic American theater; Poster; Musical theater; Manuel Martín, Jr.; Félix Méndez; Teatro DUO Theatre (organization); Ricci Adán; Juan Manuel Agüero; Carlos Collazo; Manny Matos; Nancy Mayans; Jorge Luis Ramos; Daniel Rivas, Arcadio Ruiz Castellano; Marcella White; Tony Benitez; John Perna; Juan M. Orozco; Joanna Shlelke; Rafael Llerena; Teatro hispanoamericano; Pósters; Teatro musical; Manuel Martín, Jr.; Félix Méndez; Teatro DUO Theatre (organización); Ricci Adán; Juan Manuel Agüero; Carlos Collazo; Manny Matos; Nancy Mayans; Jorge Luis Ramos; Daniel Rivas, Arcadio Ruiz Castellano; Marcella White; Tony Benitez; John Perna; Juan M. Orozco; Joanna Shlelke; Rafael Llerena",images/jpg,Eng,Arte Público Press,https://artepublicopress.com/permissions/,,,,,
histhea0020,histhea0020,histhea0020.jpg,,"El Teatro Campesino presents La Virgen de Tepeyac, 25th Anniversary<br><br> El Teatro Campesino presenta La Virgen de Tepeyac, 25 aniversario",Cayaqui,"Full color poster announcing El Teatro Campesino's production of ""La Virgen de Tepeyac"" at San Juan Bautista Mission. The image is of the Virgin of Guadalupe surrounded by Indigenous angels. <br><br> Póster a color anunciando la producción del Teatro Campesino de ""La Virgen de Tepeyac"" en la Misión San Juan Bautista. La imagen muestra a la Virgen de Guadalupe rodeada de ángeles amerindios.",1996-12,1996-12,"San Juan Bautista, California",36.8458701,-121.5356622,Stillimage; Text,Hispanic American theater; Poster; Teatro Campesino (organization); Play--Religious aspects--Catholic Church; Virgen of Guadalupe; Mission San Juan Bautista; Teatro hispanoamericano; Póster; Teatro Campesino (organización); Obras religiosas; Virgen de Guadalupe; Misión San Juan Bautista,images/jpg,Eng,Arte Público Press,https://artepublicopress.com/permissions/,,,,,
histhea0021,histhea0021,histhea0021.jpg,,"International Arts Relations, Inc. (intar) presenta Nuestro New York!<br><br>International Arts Relations, Inc. (intar) presenta Nuestro New York!",Manuel,"Black and white poster announcing International Arts Relations, Inc. (intar) presentation of the musical ""Nuestro New York!"" by Estrella Artau and directed by Max Ferrá. Art by Manuel. The image is of Lady Liberty holding a maraca and a drum. <br><br> Póster en blanco y negro anunciando la presentación en International Arts Relations, Inc. (intar) del musical, ""Nuestro New York!"" de Estrella Artau y dirigido por Max Ferrá, arte por Manuel. La imagen muestra a la estatua de La Libertad sosteniendo una maraca y un tambor.",[Unknown],[Unknown],"Nueva York, Nueva York",40.7667496,-73.991254,Stillimage; Text,Hispanic American theater; Flyer; Musical theater; Estrella Artau; Max Ferrá; International Arts Relations Inc. (intar) (organization); Statue of Liberty; New York (New York); Teatro hispanoamericano; Volante; Teatro musical; Estrella Artau; Max Ferrá; International Arts Relations Inc. (intar) (organización); Estatua de La Libertad; Nueva York (Nueva York),images/jpg,Eng; Span,Arte Público Press,https://artepublicopress.com/permissions/,,,,,
histhea0022,histhea0022,histhea0022.jpg,,[Black and white photograph of the Gran Teatro Esperanza Iris theater marquee that documents Lydia Mendoza presenting in Mexico City]<br><br>[Fotografía en blanco y negro de la marquesina del Gran Teatro Esperanza Iris que documenta la presentación de Lydia Mendoza en la Ciudad de México],,"Black and white photograph of the Gran Teatro Esperanza Iris marquee. The marquee announces Palillo Hugo Avendaño, Lidia [Lydia] Mendoza, Malena Montes, D. Carlos y Neto, Judy Marsh, Coco Pinal, Viky Villa, Los Flamingos and more. <br><br> Fotografía en blanco y negro de la marquesina del Gran Teatro Esperanza Iris. La marquesina anuncia a Palillo Hugo Avendaño, Lidia [Lydia] Mendoza, Malena Montes, D. Carlos y Neto, Judy Marsh, Coco Pinal, Viky Villa, Los Flamingos y más.",[Unknown],[Unknown],"Ciudad de México, México",19.4365516,-99.1374057,Stillimage,Hispanic American theater; Photograph; Marquees; Gran Teatro Esperanza Iris; Mexico City; Palillo Hugo Avendaño; Lydia Mendoza; Malena Montes; D. Carlos y Neto; Judy Marsh; Coco Pinal; Viky Villa; Los Flamingos; Teatro hispanoamericano; Fotografía; Marquesinas; Gran Teatro Esperanza Iris; Ciudad de México; Palillo Hugo Avendaño; Lydia Mendoza; Malena Montes; D. Carlos y Neto; Judy Marsh; Coco Pinal; Viky Villa; Los Flamingos,images/jpg,Span,Arte Público Press,https://artepublicopress.com/permissions/,,,,,
histhea0023,histhea0023,histhea0023.jpg,,"Círculo Cemí presenta Santa Camila de la Habana Vieja, Teatro América<br><br>Círculo Cemí presenta Santa Camila de la Habana Vieja, Teatro América",,"Black, white and red poster announcing Circulo Cemí's production of ""Santa Camila de la Habana Vieja"" at Teatro América, directed and adapted by Eduardo Corbé. The image shows a group of people with musical instruments. <br><br> Póster en negro, blanco y rojo anunciando la producción del Círculo Cemí, ""Santa Camila de la Habana Vieja"" en el Teatro América, dirigida y adaptada por Eduardo Corbé. La imagen muestra un grupo de gente con instrumentos musicales.",19uu-08-03,19uu-08-03,"Miami, Florida",25.7656596,-80.2303077,Stillimage; Text,Hispanic American theater; Poster; Circulo Cemí; Teatro América; Eduardo Corbé; Miguelangel Chaumont; Mercedes Enriquez; Andres Nobregas; Marta Velasco; Julio O'farrill; Maria Malgrat; Sandra Haydee; Johnny Rojas; Patricia Parra; Teatro hismanoamericano;  Póster; Circulo Cemí; Teatro América; Eduardo Corbé; Miguelangel Chaumont; Mercedes Enriquez; Andres Nobregas; Marta Velasco; Julio O'farrill; Maria Malgrat; Sandra Haydee; Johnny Rojas; Patricia Parra,images/jpg,Span,Arte Público Press,https://artepublicopress.com/permissions/,,,,,
histhea0024,histhea0024,histhea0024.jpg,,"[Photograph of two male actors in costume; comedy duo of vaudeville Don Lalo and Don Suave, Leonardo García Astol and [name unknown]. Photograph taken at Teatro Nacional in San Antonio, Texas]<br><br> [Fotografía de dos actores disfrasados; el duo de vodevil Don Lalo y Don Suave, Leonardo García Astol y [nombre desconocido]. La fotografía fue tomada en el Teatro Nacional de San Antonio, Texas]",,"Photograph of the vaudeville comedy duo ""Don Lalo and Don Suave,"" Leonardo García Astol and [name unknown]. Photograph taken at Teatro Nacional in San Antonio, Texas. The image is of two male actors in costume. <br> Fotografía del duo de vodevil ""Don Lalo y Don Suave"", Leonardo García Astol y [nombre desconocido]. La fotografía fue tomada en el Teatro Nacional de San Antonio, Texas. La imagen muestra dos actores disfrazados. <br><br> Fotografía en blanco y negro de los fundadores del Nuyorican Poets Café en The Open Mind: Lucky Cienfuegos (dramaturgo y poeta), Rich August, Miguel Piñero (dramaturgo y poeta) and Miguel Algarín (dramaturgo y poeta). La leyenda lee: Poesía, viernes, 29 de noviembre, The Open Mind, 66 Greene [Calle]. La imagen muestra a cinco hombres parados en la calle.",1920s,1920s,"San Antonio, Texas",29.4254448,-98.4981727,Stillimage,"Hispanic American theater; Photograph; Theater--Costume; Comedy; Leonardo García Astol (Don Lalo); Don Suave; Vaudeville; Teatro Nacional (San Antonio, Texas); Teatro hispanoamericano; Fotografía; Teatro--Vestuario; Comedia; Don Lalo (Leonardo García Astol); Don Suave; Vodevil; Teatro Nacional (San Antonio, Texas)",images/jpg,,Arte Público Press,https://artepublicopress.com/permissions/,,,,,
histhea0025,histhea0025,histhea0025.jpg,,"Recuerdo del Cuatezón Catarino en su Beneficio Obsequio de C. de la Rosa<br><br>Souvenir Cuatezón [good friend] Catarino's Benefit Show, a Gift from C. De la Rosa",,Black and white photographic souvenir for Cuatezón (good friend) Catarino's benefit show; a gift from C. De la Rosa. The photo was taken in Rex Studio on 303 S. El Paso. The image shows a man dressed in vaudeville costume. <br><br> Recuerdo fotográfico en blanco y negro de  Cuatezón (buen amigo) Catarino en su Beneficio Obsequio de C. de la Rosa. La fotografía fue tomada en Rex Studio en el 303 S. El Paso. La imagen muestra a un hombre disfrazado de vodevil.,[Unknown],[Unknown],"El Paso, Texas",31.7564695,-106.4885754,Stillimage; Text,Hispanic American theater; Souvenirs (Keepsakes); Benefit performances; Catarino; Vaudeville; Teatro hispanoamericano; Recuerdos; Funciones a beneficio; Catarino; Vodevil,images/jpg,Span,Arte Público Press,https://artepublicopress.com/permissions/,,,,,
histhea0026,histhea0026,histhea0026.jpg,,"[Photograph of Nuyorican Poets Café founders: Lucky Cien Fuegos, Rich August, Miguel Piñero and Miguel Algarín outside The Open Mind]<br><br>[Fotografía de los fundadores del Nuyorican Poets Café: Lucky Cienfuegos, Rich August, Miguel Piñero y Miguel Algarín afuera de The Open Mind] ",Jesús Murillo,"Black and white photograph of Nuyorican Poets Café founders at The Open Mind: Lucky Cienfuegos (playwright and poet), Rich August (playwright and poet), Miguel Piñero (playwright and poet) and Miguel Algarín (playwright and poet). Caption reads: Poetry, Friday, November 29, The Open Mind, 66 Greene [Street]. The image shows five men standing on a street. <br><br> Fotografía en blanco y negro de los fundadores del Nuyorican Poets Café en The Open Mind: Lucky Cienfuegos (dramaturgo y poeta), Rich August, Miguel Piñero (dramaturgo y poeta) and Miguel Algarín (dramaturgo y poeta). La leyenda lee: Poesía, viernes, 29 de noviembre, The Open Mind, 66 Greene [Calle]. La imagen muestra a cinco hombres parados en la calle.",19uu-11-29,19uu-11-29,"Nueva York, Nueva York",40.7229988,-74.0007016,Stillimage,"Photograph; Nuyorican Poets Café (organization); Lucky Cienfuegos; Rich August; Miguel Piñero; Miguel Algarín; The Open Mind; Lower East Side (New York, NY); Playwright; Poetry; Poets--Puerto Rican; Poets--Nuyorican; Ethnic theater; Music & Performing arts; Teatro hispanoamericano; Fotografía; Nuyorican Poets Café (organización); Lucky Cienfuegos; Rich August; Miguel Piñero; Miguel Algarín; The Open Mind; Lower East Side (Nueva York, NY); Loisaida (Nueva York, NY); Dramaturgo; Poesía; Poetas--Puertoriqueños; Poetas--Nuyorican; Teatro étnico; Música, performance y arte",images/jpg,En,Arte Público Press,https://artepublicopress.com/permissions/,,,,,
